FID,lon,lat
693,113.8271,22.77631
694,113.8263,22.77408
695,113.82634,22.77352
696,113.82668,22.77466
697,113.82714,22.77517
698,113.82745,22.77422
699,113.82778,22.77329
700,113.82718,22.77371
701,113.82876,22.7774
702,113.82842,22.77409
703,113.83106,22.77481
704,113.83002,22.77457
705,113.83051,22.77571
706,113.82337,22.77538
707,113.82462,22.77794
708,113.82581,22.77712
709,113.82439,22.77105
710,113.82632,22.77095
711,113.82726,22.77066
712,113.82222,22.77009
713,113.82731,22.77143
714,113.82811,22.77219
715,113.82969,22.77305
716,113.82924,22.77162
717,113.83129,22.77181
718,113.83807,22.76988
719,113.83776,22.77109
720,113.83705,22.7719
721,113.83902,22.77389
722,113.83148,22.77481
723,113.83221,22.77471
724,113.83256,22.77568
725,113.83334,22.776
726,113.83324,22.77449
727,113.83458,22.77441
728,113.83588,22.77428
729,113.83652,22.77582
730,113.83583,22.77591
731,113.84152,22.77465
732,113.83177,22.77332
733,113.83252,22.77169
734,113.83482,22.77162
735,113.83273,22.76935
736,113.83277,22.77199
737,113.83331,22.77322
738,113.83689,22.77232
739,113.83486,22.77199
740,113.8356,22.77306
741,113.8372,22.76897
742,113.83729,22.77181
743,113.83743,22.77134
744,113.8371,22.77168
745,113.83837,22.77123
746,113.84017,22.77194
747,113.83943,22.7704
748,113.84035,22.77027
749,113.84586,22.77428
750,113.84376,22.77714
751,113.84351,22.77513
752,113.84268,22.77601
753,113.84628,22.76971
754,113.85265,22.77324
755,113.86131,22.7698
756,113.80118,22.75972
757,113.79453,22.7645
758,113.79734,22.76499
759,113.79732,22.76153
760,113.79532,22.76153
761,113.79641,22.76297
762,113.79936,22.76785
763,113.80105,22.76634
764,113.8014,22.7647
765,113.80211,22.76388
766,113.8033,22.76394
767,113.80234,22.76666
768,113.80282,22.76539
769,113.80372,22.76254
770,113.80465,22.76459
771,113.80521,22.76557
772,113.80421,22.76591
773,113.80706,22.76476
774,113.80797,22.76199
775,113.81274,22.76156
776,113.81107,22.75999
777,113.8108,22.76302
778,113.81142,22.76765
779,113.81245,22.7673
780,113.81329,22.76869
781,113.81345,22.75994
782,113.81316,22.76375
783,113.81469,22.76809
784,113.81491,22.76086
785,113.81479,22.76248
786,113.8164,22.76104
787,113.81754,22.76358
788,113.81697,22.76248
789,113.81754,22.76105
790,113.81816,22.76248
791,113.81868,22.76338
792,113.8213,22.76248
793,113.81963,22.76388
794,113.81921,22.76248
795,113.81887,22.76106
796,113.81963,22.76105
797,113.82477,22.75845
798,113.82871,22.76321
799,113.82877,22.76617
800,113.83125,22.76503
801,113.83144,22.76306
802,113.83207,22.76419
803,113.83027,22.76401
804,113.82572,22.76043
805,113.83677,22.75957
806,113.83657,22.76145
807,113.83581,22.76334
808,113.83624,22.76343
809,113.83863,22.76872
810,113.83298,22.7597
811,113.83429,22.76306
812,113.83286,22.76629
813,113.83285,22.76364
814,113.83286,22.76477
815,113.83548,22.76439
816,113.83417,22.76534
817,113.83529,22.7621
818,113.83581,22.76272
819,113.83609,22.76165
820,113.8348,22.76699
821,113.83622,22.76582
822,113.83692,22.76663
823,113.83719,22.76115
824,113.83819,22.76115
825,113.8377,22.76085
826,113.83887,22.75975
827,113.83772,22.75922
828,113.83687,22.76229
829,113.83787,22.76176
830,113.83874,22.76794
831,113.83801,22.76707
832,113.83962,22.76293
833,113.83878,22.76238
834,113.8392,22.76713
835,113.83915,22.76905
836,113.83933,22.76857
837,113.83997,22.76842
838,113.83979,22.76764
839,113.84031,22.76886
840,113.84021,22.76922
841,113.84012,22.76229
842,113.84048,22.76073
843,113.84004,22.76665
844,113.84081,22.7668
845,113.84084,22.76303
846,113.84066,22.768
847,113.84104,22.76614
848,113.84131,22.76893
849,113.84814,22.75759
850,113.85237,22.7663
851,113.84251,22.76633
852,113.84176,22.76668
853,113.84165,22.76333
854,113.84119,22.76743
855,113.8401,22.76497
856,113.84169,22.76825
857,113.84251,22.7659
858,113.84201,22.76581
859,113.84251,22.7667
860,113.84263,22.76719
861,113.84198,22.76743
862,113.84442,22.76774
863,113.84266,22.76808
864,113.84231,22.76875
865,113.84203,22.75965
866,113.84274,22.76167
867,113.84391,22.76058
868,113.84361,22.76507
869,113.844,22.76567
870,113.84476,22.76426
871,113.84584,22.76438
872,113.84761,22.7677
873,113.84841,22.76724
874,113.84697,22.76512
875,113.84794,22.76404
876,113.8478,22.76611
877,113.85627,22.76315
878,113.85799,22.76324
879,113.85646,22.76334
880,113.85579,22.76323
881,113.85623,22.76339
882,113.85624,22.76375
883,113.85653,22.76368
884,113.85651,22.76396
885,113.85821,22.76376
886,113.85676,22.76407
887,113.85818,22.76429
888,113.85907,22.76413
889,113.85788,22.76426
890,113.85761,22.76438
891,113.85748,22.76372
892,113.85742,22.76438
893,113.85703,22.76429
894,113.85723,22.76438
895,113.85662,22.76421
896,113.85684,22.76429
897,113.8578,22.76448
898,113.8581,22.76451
899,113.85684,22.76448
900,113.85703,22.76448
901,113.8569,22.76317
902,113.85748,22.763
903,113.8577,22.76267
904,113.85656,22.7628
905,113.85773,22.7647
906,113.85752,22.76458
907,113.85722,22.76474
908,113.86639,22.75902
909,113.85992,22.75929
910,113.86255,22.76359
911,113.87137,22.75893
912,113.78814,22.75031
913,113.78977,22.75016
914,113.79364,22.75357
915,113.79654,22.75487
916,113.79932,22.75886
917,113.79744,22.75716
918,113.8006,22.75784
919,113.80074,22.75672
920,113.80079,22.75542
921,113.80093,22.75885
922,113.80179,22.75772
923,113.80152,22.75658
924,113.80402,22.75639
925,113.80238,22.75654
926,113.80333,22.75487
927,113.8025,22.75564
928,113.80269,22.75449
929,113.8017,22.7541
930,113.80038,22.75055
931,113.80248,22.75022
932,113.80494,22.75316
933,113.80326,22.75018
934,113.80856,22.75164
935,113.80998,22.75216
936,113.80897,22.75755
937,113.8062,22.75445
938,113.80894,22.75412
939,113.81051,22.75604
940,113.80444,22.75152
941,113.80836,22.75218
942,113.80748,22.75286
943,113.80779,22.75373
944,113.80918,22.74927
945,113.81021,22.75274
946,113.80899,22.75315
947,113.81021,22.75394
948,113.8112,22.75597
949,113.8105,22.75354
950,113.81153,22.75351
951,113.81649,22.7503
952,113.81963,22.75617
953,113.82082,22.75848
954,113.81602,22.75958
955,113.81529,22.75956
956,113.81583,22.75902
957,113.8151,22.75848
958,113.81582,22.75772
959,113.81755,22.75755
960,113.81687,22.75963
961,113.81821,22.75963
962,113.81963,22.75901
963,113.81926,22.75963
964,113.82145,22.75964
965,113.81602,22.75448
966,113.81469,22.74976
967,113.81631,22.75082
968,113.81606,22.75158
969,113.8162,22.74958
970,113.81669,22.75109
971,113.8169,22.75063
972,113.81779,22.75029
973,113.83029,22.75211
974,113.82895,22.75177
975,113.82972,22.7522
976,113.8303,22.75261
977,113.83105,22.75296
978,113.83048,22.75306
979,113.83058,22.75325
980,113.83127,22.75335
981,113.82825,22.75337
982,113.82793,22.75354
983,113.82796,22.75377
984,113.82829,22.75363
985,113.82725,22.75382
986,113.82649,22.75392
987,113.82833,22.75511
988,113.83086,22.75615
989,113.82858,22.75649
990,113.82611,22.75574
991,113.82743,22.75664
992,113.82355,22.75479
993,113.82473,22.75569
994,113.82354,22.75696
995,113.82439,22.7564
996,113.82553,22.75795
997,113.82741,22.75932
998,113.8318,22.75802
999,113.82879,22.75776
1000,113.82548,22.75388
1001,113.82554,22.75431
1002,113.82594,22.7501
1003,113.83022,22.74898
1004,113.82609,22.75
1005,113.82535,22.75311
1006,113.82667,22.75342
1007,113.82673,22.75186
1008,113.82777,22.75191
1009,113.8273,22.75277
1010,113.82802,22.75306
1011,113.82877,22.75085
1012,113.82807,22.75055
1013,113.82881,22.75341
1014,113.82991,22.75354
1015,113.82979,22.75316
1016,113.82915,22.75278
1017,113.82929,22.74999
1018,113.82959,22.75125
1019,113.82991,22.75061
1020,113.83028,22.75163
1021,113.8308,22.75125
1022,113.83087,22.75202
1023,113.84225,22.75136
1024,113.84057,22.75154
1025,113.83995,22.75163
1026,113.83163,22.75287
1027,113.83172,22.75306
1028,113.83348,22.75542
1029,113.83315,22.75566
1030,113.83357,22.75583
1031,113.83463,22.75585
1032,113.83434,22.75523
1033,113.83567,22.7571
1034,113.83592,22.75801
1035,113.83621,22.75552
1036,113.83828,22.75424
1037,113.83724,22.75792
1038,113.83829,22.75791
1039,113.83794,22.75734
1040,113.83956,22.75595
1041,113.8381,22.75578
1042,113.84048,22.7585
1043,113.842,22.75772
1044,113.83967,22.75782
1045,113.83145,22.75242
1046,113.83143,22.75164
1047,113.83295,22.75429
1048,113.83239,22.75315
1049,113.83298,22.75297
1050,113.83232,22.75277
1051,113.83311,22.75271
1052,113.83334,22.7506
1053,113.83352,22.75423
1054,113.83324,22.75315
1055,113.83448,22.75388
1056,113.834,22.75315
1057,113.83655,22.75308
1058,113.83578,22.75436
1059,113.83521,22.75296
1060,113.83459,22.75249
1061,113.83698,22.75205
1062,113.836,22.75265
1063,113.84038,22.75086
1064,113.83997,22.7503
1065,113.84176,22.74992
1066,113.84097,22.75431
1067,113.84071,22.752
1068,113.84025,22.75239
1069,113.83111,22.7504
1070,113.84196,22.75283
